id,aepi,aepf,aepib,aepfb,aepic,aepfc,info,time,fcalls,nrotorpoints
15,443.0083446291635,449.6483286153915,455.32927514983237,462.1881242547791,443.0083446291635,449.6483286153915,Finished successfully: optimality conditions satisfied,142.33574795722961,665,10
16,443.5992769094853,449.0573484682878,455.926502563329,461.58040155780833,443.5992769094853,449.0573484682878,Finished successfully: optimality conditions satisfied,115.6340868473053,560,10
17,442.81486586552876,449.01879053958265,455.1207746821202,461.5639353644619,442.81486586552876,449.01879053958265,Finished successfully: optimality conditions satisfied,108.56222891807556,553,10
18,443.4076895208357,449.28475611446993,455.7346556507697,461.8428549593929,443.4076895208357,449.28475611446993,Finished successfully: optimality conditions satisfied,143.462327003479,714,10
19,443.23523011157783,449.681761504516,455.5815417364753,462.2305926214297,443.23523011157783,449.681761504516,Finished successfully: optimality conditions satisfied,142.0489420890808,665,10
20,442.9080624280816,449.56633816482145,455.22272304861775,462.093019300711,442.9080624280816,449.56633816482145,Finished successfully: optimality conditions satisfied,170.8692638874054,756,10
21,444.4329768233795,449.5476060161469,456.80671781803335,462.0890359362728,444.4329768233795,449.5476060161469,Finished successfully: optimality conditions satisfied,139.47316789627075,644,10
22,443.07895525770397,449.792713046494,455.3889162004594,462.34440916762867,443.07895525770397,449.792713046494,Finished successfully: optimality conditions satisfied,136.2388517856598,693,10
23,443.038258058327,449.5070330909423,455.3640949210908,462.0513040948086,443.038258058327,449.5070330909423,Finished successfully: optimality conditions satisfied,143.1063368320465,665,10
24,443.4242220120419,449.784231485971,455.765054849584,462.3265088046716,443.4242220120419,449.784231485971,Finished successfully: optimality conditions satisfied,120.29289293289185,602,10
25,443.4428908541779,449.44450752184196,455.77556996342577,461.98786569104914,443.4428908541779,449.44450752184196,Finished successfully: optimality conditions satisfied,114.48975086212158,553,10
26,444.0650100010645,449.14703991468826,456.424759133223,461.68515267781305,444.0650100010645,449.14703991468826,Finished successfully: optimality conditions satisfied,111.50613713264465,553,10
27,444.0959248065483,448.48496631102614,456.4593764887754,460.9978064579139,444.0959248065483,448.48496631102614,Finished successfully: optimality conditions satisfied,101.37855696678162,490,10
28,444.21590856208815,450.0786005695635,456.58370951388355,462.6405805270962,444.21590856208815,450.0786005695635,Finished successfully: optimality conditions satisfied,126.77235794067383,616,10
