id,aepi,aepf,aepib,aepfb,aepic,aepfc,info,time,fcalls,nrotorpoints
50,459.05846336045573,463.81279118940444,474.48247366228435,479.3822273894707,459.05846336045573,463.81279118940444,Finished successfully: optimality conditions satisfied,98.85853290557861,567,5
51,458.36088423912855,464.8061556170046,473.7697860040593,480.4260153608746,458.36088423912855,464.8061556170046,Finished successfully: optimality conditions satisfied,104.49955892562866,644,5
52,458.86668498759275,464.1821958433381,474.2551456918689,479.7707682259494,458.86668498759275,464.1821958433381,Finished successfully: optimality conditions satisfied,72.97757911682129,441,5
53,458.4078541821678,464.20162337292345,473.77670673342124,479.8017249666092,458.4078541821678,464.20162337292345,Finished successfully: optimality conditions satisfied,109.3359649181366,623,5
54,458.0357889682673,463.5265226573188,473.39880100357453,479.10510844127646,458.0357889682673,463.5265226573188,Finished successfully: optimality conditions satisfied,97.9698441028595,581,5
55,458.9388134618645,464.71147786261633,474.34415891082506,480.2748329438657,458.9388134618645,464.71147786261633,Finished successfully: optimality conditions satisfied,107.90584397315979,672,5
56,457.9657006298257,463.4346926459898,473.3250464704569,479.07835970015617,457.9657006298257,463.4346926459898,Finished successfully: optimality conditions satisfied,55.67668294906616,336,5
57,458.0974931873746,464.446439516077,473.46513848283536,480.0140070004216,458.0974931873746,464.446439516077,Finished successfully: optimality conditions satisfied,68.1144289970398,406,5
58,458.7197734956519,464.28710939865084,474.10825599143465,479.907731113299,458.7197734956519,464.28710939865084,Finished successfully: optimality conditions satisfied,81.73792910575867,532,5
59,458.279068343324,464.6976431086767,473.66814110511973,480.29805416082337,458.279068343324,464.6976431086767,Finished successfully: optimality conditions satisfied,93.6029679775238,588,5
60,458.2901105305878,463.6554253079865,473.65683695191126,479.22989543428685,458.2901105305878,463.6554253079865,Finished successfully: optimality conditions satisfied,70.78933191299438,413,5
61,458.04881424095083,463.1538492194507,473.39151869025403,478.77129325301416,458.04881424095083,463.1538492194507,Finished successfully: optimality conditions satisfied,75.41224312782288,434,5
62,458.06398407239794,464.0522993139634,473.39010765882824,479.64595766536,458.06398407239794,464.0522993139634,Finished successfully: optimality conditions satisfied,67.01925587654114,413,5
63,458.4733714256236,463.6505759525182,473.8774100882726,479.21043226992543,458.4733714256236,463.6505759525182,Finished successfully: optimality conditions satisfied,62.82078003883362,392,5
64,458.0963713468935,463.9709718286345,473.4504357612755,479.55450158746544,458.0963713468935,463.9709718286345,Finished successfully: optimality conditions satisfied,115.73779892921448,693,5
65,459.0404655223857,464.3501577504471,474.4466520870856,479.9649332490918,459.0404655223857,464.3501577504471,Finished successfully: optimality conditions satisfied,92.5513060092926,532,5
66,458.9150417722644,463.99039850321753,474.3074246289338,479.5447234737588,458.9150417722644,463.99039850321753,Finished successfully: optimality conditions satisfied,86.0483410358429,504,5
67,458.16027798513676,463.8796505585945,473.51124618327975,479.4862855735453,458.16027798513676,463.8796505585945,Finished successfully: optimality conditions satisfied,96.56260418891907,532,5
68,458.2201292948374,463.8373610108379,473.61221918924673,479.4535034053829,458.2201292948374,463.8373610108379,Finished successfully: optimality conditions satisfied,81.86273288726807,490,5
69,459.0041597407246,464.25283962488214,474.3968740264038,479.8329870652754,459.0041597407246,464.25283962488214,Finished successfully: optimality conditions satisfied,126.67801189422607,721,5
