aepib,aepfb
443.68736501961956,492.87115920417256
443.51368542917254,494.80222349106606
455.9350627965741,490.92933715993223
463.57680907089116,494.25109701254087
463.1913380273027,484.79179475002434
464.1879350826933,492.12191002749864
454.5688352796845,496.5945058656083
449.55946978478073,497.9544635389085
457.57435120001804,494.0941641354774
445.5157437299162,496.5945588081763
452.4146702876302,496.5951243831859
457.10164671190336,493.5104576167842
451.2814449015267,498.06965914030746
460.7592932780576,495.8397790943282
454.80049727607155,493.19028878123214
459.9928637530857,498.08548653094493
458.3001406843757,491.20587973772206
463.82899613157997,497.9884743742653
461.56274788567583,498.09088008252843
458.36036516037325,494.1695542466874
461.057129212276,492.15542432325054
456.3574383871853,496.10684042874465
455.3287367107485,492.0498128666292
450.6077608011614,496.58970594500136
461.3843000407438,493.1769102009927
461.8776927770136,497.08804505099533
453.2264553741564,498.0915353974503
464.0338567910072,489.83362970897355
461.87215828275527,494.7047526442506
461.1447996518467,495.97098178243357
452.66521943572,498.2194663994374
463.51369150158087,493.38860379691164
449.63235998161605,492.37113873754845
443.1423581011754,491.96808057880077
444.6586022047845,492.97130044080666
458.7600919027393,494.52837727659465
455.65397284323797,492.7225295986798
447.9271174793208,497.98949836376494
456.20149423293685,497.93716635623616
453.7004767269352,495.6163258015635
455.4164280637578,495.53154573882006
454.794951480067,490.0254657584165
458.8200746196602,496.40470211581
445.1317294763979,493.9540264878282
453.8847448790301,493.3462106354216
461.9157105358584,496.4589973424705
446.36147497286294,494.43820233374515
456.8511371200975,493.51593266711285
450.83935241312656,496.90796507498067
455.52895523085914,491.1933496339386
443.548273144673,491.7643396872256
463.77177622635185,497.9678921985108
452.50354289473074,494.34087714091635
444.04266227026477,495.8809546425713
459.98395761277175,492.2863086195855
452.17133328105984,494.08386805680834
462.93512033582823,496.3929386642877
442.88116316526833,494.9098900466177
456.852955958996,498.15575484729044
457.6546902449565,493.9569291151809
444.26485742870085,497.9722806312688
463.87623213743507,493.8544884291764
464.126402104301,487.14826026403813
462.3945807647521,498.03412940942314
454.9856627551251,488.57085659544157
455.7561558601071,493.9757265513146
461.7128454795478,493.7280261331164
462.5634604533576,495.42313876658307
456.1453841512509,490.7941786640388
456.03411833680997,496.5907646396647
456.62912688605746,490.669378109389
457.49926686707926,496.4862860882409
452.9755807701289,491.79554067689656
460.6571145077374,496.55290164222964
460.60629331404533,492.41328487640214
462.99357028418484,498.0329937974562
452.827041924178,495.74687677281474
459.07594454166883,496.74061607605285
457.34916434083635,491.38717951537984
454.3242525003895,495.54929528596995
451.58635921995307,495.42661834437774
455.9431538114605,492.75952347140986
463.63725824309387,492.58087472815555
455.18425727905117,492.35368298074246
462.2792451146023,497.9862812090461
453.935746389364,493.981252239514
444.4176327416539,491.6744088271838
460.2384309257441,497.9630346864131
462.7033507287459,496.5950184094065
445.124729532262,492.378908654981
454.15501836137884,497.9959541592788
459.9658312764138,496.67663478405984
457.2115919172493,497.97056047124386
456.4447824907557,495.6864534724084
461.94620943680343,492.0120978212933
457.23060676331164,497.94314105706354
453.48016783015726,492.43384690852355
457.8106445402469,491.9004432914131
448.8267794230287,491.98633086879795
456.6141084269547,493.71886139432337
462.12693943528075,497.95804339447596
453.1475410420416,493.0155179529067
454.81390981893196,494.7719807282565
451.37389741927603,496.03244726815046
456.09742090649456,495.0456110937507
458.01487325208177,494.5270960659825
460.8649532561956,497.9944709843836
446.9253235725224,493.22605649931074
461.4643421896548,494.82179621689255
450.9259822908649,493.60743367743373
452.9134575870161,493.2718790974072
452.3015574546439,496.0719336452432
464.3303325635575,492.9257150524624
461.8534817688598,496.40618269648223
457.90416169050246,493.41949159329323
461.2530610791172,495.30840728964125
453.4984102213682,491.51643377632416
462.39060533607375,496.98591478690116
448.6189479006931,491.0039181217021
453.70595140995283,498.19652504164367
444.94085016857935,494.90311024927223
453.7479016111984,487.6062449266382
461.7301754150474,496.52399808951566
461.4514585194081,491.4332712807917
461.52085263827513,498.0401863262022
461.1658068966511,496.86184978761105
461.1776707324653,493.23603737038974
448.3872148656281,492.1410806352407
457.5912557187718,498.21016054723077
444.1523170285949,494.5320400059462
453.2367127734458,489.2640855532936
443.8748804898,494.8284270864275
453.16789246880126,498.09379238592845
460.5854129750434,498.21154499786115
456.2696189012346,496.73499970777164
456.68217044400114,498.0990097531517
446.48605184993653,494.7746746637312
454.3481509033694,491.8569725616921
458.1711083224002,496.4594845444783
462.3301423808533,491.53022727766444
